Web Search interest: debt
United States; Jan 2004 - Feb 2011

Interest over time
Week,debt
2007-05-13 - 2007-05-19,52
2007-05-20 - 2007-05-26,50
2007-05-27 - 2007-06-02,52
2007-06-03 - 2007-06-09,55
2007-06-10 - 2007-06-16,50
2007-06-17 - 2007-06-23,52
2007-06-24 - 2007-06-30,53
2007-07-01 - 2007-07-07,47
2007-07-08 - 2007-07-14,53
2007-07-15 - 2007-07-21,55
2007-07-22 - 2007-07-28,56
2007-07-29 - 2007-08-04,54
2007-08-05 - 2007-08-11,54
2007-08-12 - 2007-08-18,51
2007-08-19 - 2007-08-25,52
2007-08-26 - 2007-09-01,51
2007-09-02 - 2007-09-08,52
2007-09-09 - 2007-09-15,55
2007-09-16 - 2007-09-22,59
2007-09-23 - 2007-09-29,60
2007-09-30 - 2007-10-06,60
2007-10-07 - 2007-10-13,60
2007-10-14 - 2007-10-20,60
2007-10-21 - 2007-10-27,58
2007-10-28 - 2007-11-03,62
2007-11-04 - 2007-11-10,61
2007-11-11 - 2007-11-17,63
2007-11-18 - 2007-11-24,52
2007-11-25 - 2007-12-01,59
2007-12-02 - 2007-12-08,61
2007-12-09 - 2007-12-15,55
2007-12-16 - 2007-12-22,53
2007-12-23 - 2007-12-29,52
2007-12-30 - 2008-01-05,57
2008-01-06 - 2008-01-12,68
2008-01-13 - 2008-01-19,68
2008-01-20 - 2008-01-26,69
2008-01-27 - 2008-02-02,65
2008-02-03 - 2008-02-09,63
2008-02-10 - 2008-02-16,62
2008-02-17 - 2008-02-23,63
2008-02-24 - 2008-03-01,66
2008-03-02 - 2008-03-08,63
2008-03-09 - 2008-03-15,60
2008-03-16 - 2008-03-22,62
2008-03-23 - 2008-03-29,64
2008-03-30 - 2008-04-05,62
2008-04-06 - 2008-04-12,63
2008-04-13 - 2008-04-19,65
2008-04-20 - 2008-04-26,63
2008-04-27 - 2008-05-03,57
2008-05-04 - 2008-05-10,58
2008-05-11 - 2008-05-17,56
2008-05-18 - 2008-05-24,54
2008-05-25 - 2008-05-31,52
2008-06-01 - 2008-06-07,54
2008-06-08 - 2008-06-14,58
2008-06-15 - 2008-06-21,54
2008-06-22 - 2008-06-28,56
2008-06-29 - 2008-07-05,53
2008-07-06 - 2008-07-12,62
2008-07-13 - 2008-07-19,61
2008-07-20 - 2008-07-26,60
2008-07-27 - 2008-08-02,62
2008-08-03 - 2008-08-09,58
2008-08-10 - 2008-08-16,54
2008-08-17 - 2008-08-23,57
2008-08-24 - 2008-08-30,62
2008-08-31 - 2008-09-06,63
2008-09-07 - 2008-09-13,64
2008-09-14 - 2008-09-20,80
2008-09-21 - 2008-09-27,88
2008-09-28 - 2008-10-04,85
2008-10-05 - 2008-10-11,100
2008-10-12 - 2008-10-18,82
2008-10-19 - 2008-10-25,74
2008-10-26 - 2008-11-01,72
2008-11-02 - 2008-11-08,70
2008-11-09 - 2008-11-15,77
2008-11-16 - 2008-11-22,75
2008-11-23 - 2008-11-29,65
2008-11-30 - 2008-12-06,77
2008-12-07 - 2008-12-13,73
2008-12-14 - 2008-12-20,65
2008-12-21 - 2008-12-27,48
2008-12-28 - 2009-01-03,64
2009-01-04 - 2009-01-10,71
2009-01-11 - 2009-01-17,70
2009-01-18 - 2009-01-24,68
2009-01-25 - 2009-01-31,71
2009-02-01 - 2009-02-07,74
2009-02-08 - 2009-02-14,75
2009-02-15 - 2009-02-21,76
2009-02-22 - 2009-02-28,82
2009-03-01 - 2009-03-07,75
2009-03-08 - 2009-03-14,69
2009-03-15 - 2009-03-21,71
2009-03-22 - 2009-03-28,74
2009-03-29 - 2009-04-04,69
2009-04-05 - 2009-04-11,66
2009-04-12 - 2009-04-18,68
2009-04-19 - 2009-04-25,70
2009-04-26 - 2009-05-02,67
2009-05-03 - 2009-05-09,64
2009-05-10 - 2009-05-16,62
2009-05-17 - 2009-05-23,61
2009-05-24 - 2009-05-30,58
2009-05-31 - 2009-06-06,62
2009-06-07 - 2009-06-13,63
2009-06-14 - 2009-06-20,62
2009-06-21 - 2009-06-27,65
2009-06-28 - 2009-07-04,68
2009-07-05 - 2009-07-11,67
2009-07-12 - 2009-07-18,69
2009-07-19 - 2009-07-25,65
2009-07-26 - 2009-08-01,62
2009-08-02 - 2009-08-08,63
2009-08-09 - 2009-08-15,68
2009-08-16 - 2009-08-22,61
2009-08-23 - 2009-08-29,75
2009-08-30 - 2009-09-05,61
2009-09-06 - 2009-09-12,62
2009-09-13 - 2009-09-19,63
2009-09-20 - 2009-09-26,64
2009-09-27 - 2009-10-03,62
2009-10-04 - 2009-10-10,63
2009-10-11 - 2009-10-17,69
2009-10-18 - 2009-10-24,67
2009-10-25 - 2009-10-31,64
2009-11-01 - 2009-11-07,63
2009-11-08 - 2009-11-14,65
2009-11-15 - 2009-11-21,65
2009-11-22 - 2009-11-28,62
2009-11-29 - 2009-12-05,69
2009-12-06 - 2009-12-12,65
2009-12-13 - 2009-12-19,61
2009-12-20 - 2009-12-26,42
2009-12-27 - 2010-01-02,53
2010-01-03 - 2010-01-09,63
2010-01-10 - 2010-01-16,62
2010-01-17 - 2010-01-23,65
2010-01-24 - 2010-01-30,75
2010-01-31 - 2010-02-06,81
2010-02-07 - 2010-02-13,71
2010-02-14 - 2010-02-20,72
2010-02-21 - 2010-02-27,68
2010-02-28 - 2010-03-06,67
2010-03-07 - 2010-03-13,65
2010-03-14 - 2010-03-20,65
2010-03-21 - 2010-03-27,72
2010-03-28 - 2010-04-03,61
2010-04-04 - 2010-04-10,66
2010-04-11 - 2010-04-17,67
2010-04-18 - 2010-04-24,65
2010-04-25 - 2010-05-01,73
2010-05-02 - 2010-05-08,69
2010-05-09 - 2010-05-15,64
2010-05-16 - 2010-05-22,61
2010-05-23 - 2010-05-29,57
2010-05-30 - 2010-06-05,56
2010-06-06 - 2010-06-12,61
2010-06-13 - 2010-06-19,57
2010-06-20 - 2010-06-26,58
2010-06-27 - 2010-07-03,57
2010-07-04 - 2010-07-10,52
2010-07-11 - 2010-07-17,54
2010-07-18 - 2010-07-24,54
2010-07-25 - 2010-07-31,54
2010-08-01 - 2010-08-07,52
2010-08-08 - 2010-08-14,51
2010-08-15 - 2010-08-21,52
2010-08-22 - 2010-08-28,49
2010-08-29 - 2010-09-04,48
2010-09-05 - 2010-09-11,50
2010-09-12 - 2010-09-18,51
2010-09-19 - 2010-09-25,53
2010-09-26 - 2010-10-02,53
2010-10-03 - 2010-10-09,56
2010-10-10 - 2010-10-16,54
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,57
2010-10-31 - 2010-11-06,60
2010-11-07 - 2010-11-13,57
2010-11-14 - 2010-11-20,57
2010-11-21 - 2010-11-27,42
2010-11-28 - 2010-12-04,58
2010-12-05 - 2010-12-11,53
2010-12-12 - 2010-12-18,46
2010-12-19 - 2010-12-25,36
2010-12-26 - 2011-01-01,38
2011-01-02 - 2011-01-08,62
2011-01-09 - 2011-01-15,53
2011-01-16 - 2011-01-22,60
2011-01-23 - 2011-01-29,65
2011-01-30 - 2011-02-05,57
2011-02-06 - 2011-02-12,58
2011-02-13 - 2011-02-19,64
2011-02-20 - 2011-02-26,58
2011-02-27 - 2011-03-05,57


Top subregions for debt
Subregion,debt
District of Columbia,100
Arizona,96
Missouri,93
New York,92
Utah,92
Texas,92
Georgia,92
Florida,92
Idaho,91
Ohio,91
Nevada,91
Minnesota,89
North Carolina,89
Colorado,89
Michigan,88
Pennsylvania,87
Alabama,87
Arkansas,86
Tennessee,86
Illinois,85
Kansas,85
Oklahoma,85
West Virginia,85
Maryland,85
New Jersey,84
South Carolina,83
Nebraska,82
Wyoming,82
Indiana,81
Iowa,81
South Dakota,81
Massachusetts,80
Kentucky,80
Mississippi,79
Oregon,79
Washington,78
North Dakota,78
Wisconsin,77
Delaware,77
Louisiana,75
New Hampshire,74
New Mexico,74
Connecticut,74
California,74
Montana,74
Alaska,71
Maine,70
Hawaii,69
Rhode Island,68
Virginia,59
Vermont,56


Top metros for debt
Metro,debt
Richmond-Petersburg VA,100
Topeka KS,99
Jacksonville FL,98
Salt Lake City UT,94
Minneapolis-St. Paul MN,94
Memphis TN,93
New York NY,92
Phoenix AZ,91
Florence-Myrtle Beach SC,91
Atlanta GA,91
Columbia-Jefferson City MO,89
Kansas City MO,89
Colorado Springs-Pueblo CO,88
Norfolk-Portsmouth-Newport News VA,87
Peoria-Bloomington IL,87
Boise ID,86
Las Vegas NV,86
Ft. Smith-Fayetteville-Springdale-Rogers AR,86
Tampa-St. Petersburg (Sarasota) FL,85
Grand Rapids-Kalamazoo-Battle Creek MI,85
Dallas-Ft. Worth TX,85
Charlottesville VA,85
Knoxville TN,85
Houston TX,84
Cincinnati OH,84
Detroit MI,84
Tulsa OK,84
Charlotte NC,84
Charleston-Huntington WV,84
Columbia SC,83
Cleveland-Akron (Canton) OH,83
Los Angeles CA,83
Denver CO,83
Waco-Temple-Bryan TX,83
Mobile AL-Pensacola (Ft. Walton Beach) FL,83
Savannah GA,83
Cheyenne WY-Scottsbluff NE,83
Dayton OH,83
Jackson MS,83
Columbus OH,83
Anchorage AK,82
Philadelphia PA,82
Nashville TN,82
Springfield MO,81
Orlando-Daytona Beach-Melbourne FL,81
Indianapolis IN,81
Birmingham AL,81
Omaha NE,81
Spokane WA,81
Little Rock-Pine Bluff AR,81
Lubbock TX,81
San Diego CA,81
Syracuse NY,81
Corpus Christi TX,80
Chattanooga TN,80
Oklahoma City OK,80
Chicago IL,79
Boston MA-Manchester NH,79
Pittsburgh PA,79
Lansing MI,79
St. Louis MO,79
Sioux Falls(Mitchell) SD,79
Wichita-Hutchinson KS,79
Rochester NY,78
San Antonio TX,78
Buffalo NY,78
Portland-Auburn ME,78
Macon GA,77
Bangor ME,77
Miami-Ft. Lauderdale FL,77
Baltimore MD,77
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,77
Tallahassee FL-Thomasville GA,77
Fargo-Valley City ND,76
Austin TX,76
Charleston SC,76
Reno NV,76
Greensboro-High Point-Winston Salem NC,76
Portland OR,76
Lexington KY,76
Louisville KY,76
Wausau-Rhinelander WI,76
Harrisburg-Lancaster-Lebanon-York PA,76
Flint-Saginaw-Bay City MI,76
Montgomery (Selma) AL,75
Raleigh-Durham (Fayetteville) NC,75
Seattle-Tacoma WA,75
Roanoke-Lynchburg VA,75
Sacramento-Stockton-Modesto CA,74
South Bend-Elkhart IN,74
Madison WI,74
Des Moines-Ames IA,74
Gainesville FL,74
Champaign & Springfield-Decatur IL,73
Honolulu HI,73
Tucson (Sierra Vista) AZ,72
Hartford & New Haven CT,72
Bakersfield CA,72
Milwaukee WI,72
Evansville IN,72
La Crosse-Eau Claire WI,72
Huntsville-Decatur (Florence) AL,72
Wilkes Barre-Scranton PA,71
Shreveport LA,71
Youngstown OH,71
Albany-Schenectady-Troy NY,71
Fresno-Visalia CA,71
Minot-Bismarck-Dickinson(Williston) ND,71
Toledo OH,71
Augusta GA,71
Greenville-New Bern-Washington NC,71
Wilmington NC,70
Rochester MN-Mason City IA-Austin MN,70
Chico-Redding CA,70
Baton Rouge LA,69
West Palm Beach-Ft. Pierce FL,69
Washington DC (Hagerstown MD),69
Tri-Cities TN-VA,69
Providence RI-New Bedford MA,69
Ft. Wayne IN,69
Green Bay-Appleton WI,69
Lincoln & Hastings-Kearney NE,69
New Orleans LA,68
Monterey-Salinas CA,67
Ft. Myers-Naples FL,66
Tyler-Longview(Lufkin & Nacogdoches) TX,66
Albuquerque-Santa Fe NM,65
Greenville-Spartanburg SC-Asheville NC-Anderson SC,65
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,65
Binghamton NY,65
Burlington VT-Plattsburgh NY,63
El Paso TX,63
Davenport IA-Rock Island-Moline IL,62
Santa Barbara-Santa Maria-San Luis Obispo CA,62
Eugene OR,62
Springfield-Holyoke MA,60
Johnstown-Altoona PA,60
Harlingen-Weslaco-Brownsville-McAllen TX,60
San Francisco-Oakland-San Jose CA,49
Erie PA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Rockford IL,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Beaumont-Port Arthur TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for debt
City,debt
Washington,100
New York,99
Phoenix,95
Atlanta,93
Richmond,93
Las Vegas,88
Charlotte,86
Minneapolis,85
Cleveland,85
Los Angeles,85
Kansas City,84
Houston,83
Chicago,83
Denver,82
Columbus,82



Top searches for debt
debt consolidation,100
the debt,85
credit card debt,85
national debt,80
debt collection,60
us debt,50
debt ratio,45
debt relief,45
loans,35
debt free,30
debt settlement,30
debt calculator,30
debt management,25
debt clock,25
bad debt,25
debt solutions,20
federal debt,20
consolidation loans,20
debt consolidation loans,20
consumer debt,20
tax debt,20
bankruptcy,20
debt to income,20
debt counseling,20
pay off debt,15
debt help,15
fair debt collection,15
american debt,15
the national debt,15
debt service,15
debt to equity,15
debt consolidation loan,15
public debt,15
us national debt,15
national debt clock,15
debt reduction,10
debt collectors,10
debt equity ratio,10
student loan debt,10
credit counseling,10
california debt,10
statute of limitations,10
united states debt,10
credit cards,10
deficit,10
usa debt,10
cost of debt,10
debt forgiveness,10
u.s. debt,10
consolidate debt,10



Rising searches for debt
debt solutions,+180%
the debt,+170%
debt ratio,+160%
debt relief,+150%
us debt,+120%
credit card debt,+110%
debt settlement,+110%
bad debt,+80%
debt calculator,+70%
debt clock,+60%



